emoji,count,positive_%,neutral_%,negative_%
😂,2491,33.2,40.3,26.5
🤣,274,29.9,44.5,25.5
🏆,123,65.9,29.3,4.9
🕺,28,42.9,42.9,14.3
💃,38,34.2,52.6,13.2
♀,425,36.2,35.5,28.2
🤷,307,39.1,34.2,26.7
🏽,477,38.8,38.2,23.1
🖤,109,50.5,39.4,10.1
🏾,452,43.1,38.1,18.8
✌,67,55.2,23.9,20.9
😍,890,53.4,36.5,10.1
😭,1049,36.5,34.3,29.2
📸,71,33.8,57.7,8.5
🐥,18,38.9,55.6,5.6
🤦,246,29.3,39.4,31.3
😒,96,28.1,29.2,42.7
🏻,482,51.0,33.8,15.1
🐪,2,50.0,50.0,0.0
👏,276,57.2,30.8,12.0
💯,296,43.2,32.8,24.0
💀,207,30.0,36.2,33.8
🌸,83,57.8,36.1,6.0
💕,445,64.0,30.3,5.6
🔥,825,45.8,41.6,12.6
🤗,110,64.5,31.8,3.6
😩,355,37.5,34.4,28.2
🌒,4,0.0,75.0,25.0
🚗,9,44.4,55.6,0.0
🗣,124,37.1,36.3,26.6
🍓,18,55.6,44.4,0.0
🧐,27,48.1,33.3,18.5
📹,41,26.8,63.4,9.8
😊,322,65.2,27.3,7.5
💛,180,62.2,32.8,5.0
👉,301,50.5,40.9,8.6
😁,166,54.2,30.7,15.1
😋,78,47.4,35.9,16.7
💖,221,65.6,26.7,7.7
❤,1168,62.8,30.7,6.4
📅,5,60.0,40.0,0.0
🔵,32,59.4,40.6,0.0
🔴,52,44.2,50.0,5.8
😎,170,47.1,40.6,12.4
♂,305,33.8,39.7,26.6
🤢,21,23.8,28.6,47.6
😅,139,38.1,40.3,21.6
™,36,27.8,55.6,16.7
💔,103,28.2,29.1,42.7
🙄,193,29.0,34.2,36.8
©,127,23.6,73.2,3.1
😡,45,15.6,33.3,51.1
👑,103,53.4,42.7,3.9
😢,117,42.7,27.4,29.9
🌹,106,58.5,39.6,1.9
🙏,403,63.8,30.0,6.2
😉,164,49.4,37.2,13.4
🙌,280,58.2,32.5,9.3
🌟,101,65.3,31.7,3.0
👀,228,39.0,52.2,8.8
🚀,62,62.9,33.9,3.2
🌼,40,75.0,20.0,5.0
😮,29,44.8,41.4,13.8
😘,262,62.6,29.8,7.6
👈,49,30.6,57.1,12.2
🙈,65,44.6,43.1,12.3
🤤,60,46.7,36.7,16.7
😌,96,56.2,27.1,16.7
🦍,3,33.3,33.3,33.3
❗,77,45.5,27.3,27.3
🍻,23,60.9,34.8,4.3
🚨,181,47.0,35.4,17.7
🤞,59,45.8,44.1,10.2
🙅,24,33.3,25.0,41.7
⚡,68,57.4,33.8,8.8
🏿,49,36.7,44.9,18.4
🤑,28,35.7,64.3,0.0
♥,151,62.9,32.5,4.6
😆,89,44.9,48.3,6.7
😄,69,62.3,34.8,2.9
🤔,248,31.9,44.4,23.8
📺,37,32.4,54.1,13.5
😕,46,32.6,34.8,32.6
☹,49,32.7,22.4,44.9
🍿,8,75.0,12.5,12.5
👶,21,38.1,52.4,9.5
🎊,56,78.6,21.4,0.0
🧡,36,63.9,30.6,5.6
🎉,233,76.0,21.9,2.1
🎂,74,85.1,6.8,8.1
📷,73,42.5,54.8,2.7
😜,71,39.4,42.3,18.3
😤,84,27.4,32.1,40.5
👇,131,47.3,41.2,11.5
🎮,42,31.0,64.3,4.8
🕰,35,25.7,74.3,0.0
🖥,35,22.9,71.4,5.7
💎,76,32.9,59.2,7.9
🦆,4,0.0,75.0,25.0
😑,42,14.3,40.5,45.2
💪,203,46.3,37.9,15.8
👎,19,10.5,47.4,42.1
🎈,56,76.8,19.6,3.6
😳,119,35.3,43.7,21.0
🌈,53,58.5,28.3,13.2
🍭,19,47.4,52.6,0.0
💗,126,61.9,34.1,4.0
💥,143,51.0,35.7,13.3
🏏,3,66.7,33.3,0.0
👌,174,45.4,44.8,9.8
📚,21,47.6,38.1,14.3
🔔,32,56.2,40.6,3.1
⚠,74,45.9,32.4,21.6
😠,17,29.4,29.4,41.2
😞,38,21.1,31.6,47.4
😀,74,54.1,40.5,5.4
💜,243,67.5,30.0,2.5
💫,73,57.5,37.0,5.5
🎁,60,73.3,20.0,6.7
🤩,30,50.0,50.0,0.0
